Date_Range_DIF,Date_Range_STD,Abort_Timing,Record Name,RMSE_cal,RMSE_std,Beam_Max,MaxRSE_std,Max_Pre,Max_Sel_Pre,Avg_Sel_Pre,Max_Cal,Avg_Cal,RMSE_STEP_Max,STEP_Max_Avg,RMSE_STEP_Mean,STEP_Mean_Avg,W0_std,W1_std,W2_std,W0_dif,W1_dif,W2_dif,RMSE_dif,MaxRMSE_dif,Cause_no
20240402192430-20240402205447,20240325000000-20240328000000,2024-04-02 20:52:47,VALCCG:D01_L22:PRES,8.04e-08,1.00e-08,8.02e+02,3.562e-08,2.19e-07,2.10e-07,1.97e-07,1.20e-07,1.17e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.83e-11,2.06e-13,9.00e-08,6.81e-12,1.67e-13,1.81e-07,1.00e-08,1.09e-08,0.00e+00
20240402192430-20240402205447,20240325000000-20240328000000,2024-04-02 20:52:47,VALCCG:D05_L26:PRES,4.60e-07,1.02e-08,8.02e+02,4.776e-08,3.54e-06,3.54e-06,3.08e-07,2.26e-07,2.07e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.81e-12,9.08e-08,3.01e-10,0.00e+00,8.54e-08,4.48e-07,3.22e-06,0.00e+00
20240402205500-20240402220152,20240325000000-20240328000000,2024-04-02 21:59:52,VALCCG:D01_L22:PRES,8.19e-08,1.00e-08,8.02e+02,3.562e-08,2.32e-07,2.32e-07,1.97e-07,1.20e-07,1.15e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.83e-11,2.06e-13,9.00e-08,1.84e-11,1.48e-13,1.75e-07,1.00e-08,3.18e-08,0.00e+00
20240402220200-20240402234031,20240325000000-20240328000000,2024-04-02 23:38:31,VALCCG:D01_L22:PRES,8.31e-08,1.00e-08,9.01e+02,3.562e-08,2.34e-07,2.34e-07,2.03e-07,1.31e-07,1.20e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.83e-11,2.06e-13,9.00e-08,1.23e-11,1.42e-13,1.83e-07,1.00e-08,2.79e-08,0.00e+00
20240403075200-20240403101807,20240326000000-20240329000000,2024-04-03 10:16:07,VALCCG:D07_L09:PRES,3.73e-07,4.78e-08,9.50e+02,2.560e-07,1.64e-06,1.64e-06,6.35e-07,6.46e-07,4.60e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,2.82e-12,2.31e-07,0.00e+00,7.94e-12,1.00e-09,2.01e-07,5.27e-07,0.00e+00
20240403075200-20240403124805,20240326000000-20240329000000,2024-04-03 12:46:05,VALCCG:D07_L09:PRES,3.21e-07,4.78e-08,9.50e+02,2.560e-07,1.64e-06,1.64e-06,5.24e-07,6.46e-07,4.00e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,2.82e-12,2.31e-07,0.00e+00,6.98e-12,1.06e-07,1.91e-07,5.57e-07,0.00e+00
20240404060430-20240404100842,20240327000000-20240330000000,2024-04-04 10:06:42,VALCCG:D05_L25:PRES,3.87e-07,1.82e-08,1.00e+03,5.503e-08,2.59e-06,2.59e-06,3.19e-07,3.67e-07,2.32e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.72e-12,5.56e-08,0.00e+00,3.25e-12,1.00e-09,3.59e-07,2.00e-06,0.00e+00
20240404060430-20240404100842,20240327000000-20240330000000,2024-04-04 10:06:42,VALCCG:D05_L26:PRES,3.48e-07,1.15e-08,1.00e+03,4.416e-08,2.72e-06,2.72e-06,3.07e-07,3.48e-07,2.45e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.31e-12,1.10e-07,0.00e+00,2.80e-12,1.95e-08,3.31e-07,2.20e-06,0.00e+00
20240404060430-20240404120513,20240327000000-20240330000000,2024-04-04 12:03:13,VALCCG:D05_L25:PRES,3.87e-07,1.82e-08,1.00e+03,5.503e-08,2.59e-06,2.59e-06,3.19e-07,3.67e-07,2.32e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.72e-12,5.56e-08,0.00e+00,3.25e-12,1.00e-09,3.59e-07,2.00e-06,0.00e+00
20240404060430-20240404120513,20240327000000-20240330000000,2024-04-04 12:03:13,VALCCG:D05_L26:PRES,3.48e-07,1.15e-08,1.00e+03,4.416e-08,2.72e-06,2.72e-06,3.07e-07,3.48e-07,2.45e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.31e-12,1.10e-07,0.00e+00,2.80e-12,1.95e-08,3.31e-07,2.20e-06,0.00e+00
20240404172800-20240404232554,20240327000000-20240330000000,2024-04-04 23:23:54,VALCCG:D05_L25:PRES,1.63e-07,1.82e-08,1.00e+03,5.503e-08,2.05e-06,2.05e-06,2.17e-07,3.68e-07,1.70e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.72e-12,5.56e-08,0.00e+00,2.94e-12,2.03e-08,1.30e-07,1.51e-06,0.00e+00
20240404172800-20240404232554,20240327000000-20240330000000,2024-04-04 23:23:54,VALCCG:D05_L26:PRES,2.09e-07,1.15e-08,1.00e+03,4.416e-08,2.85e-06,2.85e-06,2.33e-07,3.48e-07,1.98e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.31e-12,1.10e-07,0.00e+00,2.33e-12,7.73e-08,1.93e-07,2.36e-06,0.00e+00
20240404172600-20240405025050,20240328000000-20240331000000,2024-04-05 02:48:50,VALCCG:D05_L24:PRES,1.07e-07,2.18e-08,1.00e+03,8.862e-08,8.87e-07,8.87e-07,4.13e-07,5.09e-07,3.43e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,2.20e-12,1.09e-07,0.00e+00,3.05e-12,8.90e-08,4.47e-08,2.57e-07,0.00e+00
20240404172600-20240405025050,20240328000000-20240331000000,2024-04-05 02:48:50,VALCCG:D05_L25:PRES,1.56e-07,1.31e-08,1.00e+03,6.256e-08,2.05e-06,2.05e-06,2.93e-07,3.36e-07,2.22e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.51e-12,6.19e-08,0.00e+00,2.46e-12,3.11e-08,1.17e-07,1.58e-06,0.00e+00
20240404172600-20240405025050,20240328000000-20240331000000,2024-04-05 02:48:50,VALCCG:D05_L26:PRES,1.83e-07,1.01e-08,1.00e+03,5.761e-08,2.85e-06,2.85e-06,2.84e-07,3.35e-07,2.42e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.22e-12,1.13e-07,0.00e+00,1.85e-12,8.81e-08,1.71e-07,2.43e-06,0.00e+00
20240405025100-20240405035618,20240328000000-20240331000000,2024-04-05 03:54:18,VALCCG:D05_L24:PRES,8.48e-08,2.18e-08,1.00e+03,8.862e-08,6.37e-07,6.37e-07,2.92e-07,5.08e-07,2.23e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,2.20e-12,1.09e-07,0.00e+00,1.60e-12,2.09e-07,3.54e-08,1.45e-07,0.00e+00
20240405025100-20240405035618,20240328000000-20240331000000,2024-04-05 03:54:18,VALCCG:D05_L25:PRES,6.44e-08,1.31e-08,1.00e+03,6.256e-08,6.05e-07,6.05e-07,1.82e-07,3.35e-07,1.40e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.51e-12,6.19e-08,0.00e+00,1.29e-12,1.15e-07,4.72e-08,2.61e-07,0.00e+00
